Origin Country,Origin City,OriginCluster,OriginClusterLat,OriginClusterLong,OriginLat,OriginLong,Dest Country,Dest City,DestinationCluster,DestinationClusterLat,DestinationClusterLong,DestLat,DestLong,TR Gross Weight (KG),Nb of Ship Units,TR Gross Volume (M3)
FRANCE,41 RUE DES EAUX,Cluster644,50.6428943478149,3.04884883308296,50.65605,3.08305,SPAIN,GETAFE,Cluster443,40.3059605685147,-3.73263323307037,40.3049087524414,-3.73108005523682,4.2,1,0.288
FRANCE,ADE,Cluster553,43.1740303039551,-0.0052862497395836,43.1385192871094,-0.0281399991363287,SPAIN,SEVILLA,Cluster441,37.3885318869866,-6.00721914372338,37.3878898620605,-6.00197982788086,55.0,11,1.2469999999999999
FRANCE,ALBERT CEDEX,Cluster547,50.0047814505441,2.65051865577698,50.0287246704102,2.65030193328857,SPAIN,SEVILLA,Cluster441,37.3885318869866,-6.00721914372338,37.3878898620605,-6.00197982788086,3.02,2,0.019
FRANCE,ALBI,Cluster827,43.9262008666992,2.14837002754211,43.9262008666992,2.14837002754211,FRANCE,TOULOUSE,Cluster2,43.6206051062346,1.39423144268438,43.6057281494141,1.44869005680084,35710.0,40,152.57900000000004
FRANCE,AMBAZAC,Cluster637,45.9573707580566,1.40095996856689,45.9573707580566,1.40095996856689,GERMANY,AUGSBURG,Cluster19,48.3703384399414,10.8978796005249,48.3703384399414,10.8978796005249,70.0,6,0.18
FRANCE,AMBOISE,Cluster596,47.4128494262695,0.982550024986267,47.4128494262695,0.982550024986267,FRANCE,CASTELNAU D ESTRETEFONDS,Cluster2,43.6206051062346,1.39423144268438,43.7837104797363,1.35743999481201,1255.0,3,1.1520000000000001
FRANCE,AMBOISE,Cluster596,47.4128494262695,0.982550024986267,47.4128494262695,0.982550024986267,FRANCE,LAUNAGUET,Cluster2,43.6206051062346,1.39423144268438,43.6724510192871,1.45246005058289,7500.0,7,7.136
FRANCE,AMBOISE,Cluster596,47.4128494262695,0.982550024986267,47.4128494262695,0.982550024986267,UNITED KINGDOM,HAWARDEN,Cluster906,53.1762720743815,-2.99709330002467,53.1848297119141,-3.02653002738953,194400.0,18,1401.8760000000007
FRANCE,AMIENS,Cluster633,49.8946914672852,2.29326009750366,49.8946914672852,2.29326009750366,FRANCE,CORNEBARRIEU,Cluster2,43.6206051062346,1.39423144268438,43.6498718261719,1.32570004463196,2060.7999999999997,205,44.05
FRANCE,AMIENS,Cluster633,49.8946914672852,2.29326009750366,49.8946914672852,2.29326009750366,FRANCE,MONTOIR DE BRETAGNE,Cluster546,47.3271995993222,-2.15541228126078,47.327808380127,-2.15337991714478,2179.5399999999995,188,27.158999999999995
FRANCE,AMIENS,Cluster633,49.8946914672852,2.29326009750366,49.8946914672852,2.29326009750366,GERMANY,BREMEN,Cluster15,53.0750999450684,8.80469036102295,53.0750999450684,8.80469036102295,2091.64,70,78.758
FRANCE,AMIENS,Cluster633,49.8946914672852,2.29326009750366,49.8946914672852,2.29326009750366,GERMANY,DONAUWOERTH,Cluster17,48.7181701660156,10.7804203033447,48.7181701660156,10.7804203033447,17705.879999999994,417,249.7240000000002
FRANCE,AMIENS,Cluster633,49.8946914672852,2.29326009750366,49.8946914672852,2.29326009750366,GERMANY,HAMBURG,Cluster1,53.5537490844727,9.99182987213135,53.5537490844727,9.99182987213135,77.2,27,1.7180000000000004
FRANCE,AMIENS,Cluster633,49.8946914672852,2.29326009750366,49.8946914672852,2.29326009750366,SPAIN,DE LA RINCONADA,Cluster463,37.4877127570075,-5.9649546597455,37.4928588867188,-5.9782600402832,0.9,1,0.024
FRANCE,AMIENS,Cluster633,49.8946914672852,2.29326009750366,49.8946914672852,2.29326009750366,SPAIN,DOS HERMANAS,Cluster445,37.2830085754395,-5.92833995819092,37.2830085754395,-5.92833995819092,1328.7499999999998,156,14.040999999999995
FRANCE,AMIENS,Cluster633,49.8946914672852,2.29326009750366,49.8946914672852,2.29326009750366,SPAIN,GETAFE,Cluster443,40.3059605685147,-3.73263323307037,40.3049087524414,-3.73108005523682,17.54,6,0.218
FRANCE,AMIENS,Cluster633,49.8946914672852,2.29326009750366,49.8946914672852,2.29326009750366,SPAIN,SEVILLA,Cluster441,37.3885318869866,-6.00721914372338,37.3878898620605,-6.00197982788086,184.96,40,2.779
FRANCE,ANNEMASSE,Cluster717,46.1913681030273,6.2364501953125,46.1913681030273,6.2364501953125,GERMANY,DONAUWOERTH,Cluster17,48.7181701660156,10.7804203033447,48.7181701660156,10.7804203033447,46.0,4,0.7670000000000001
FRANCE,ANTONY,Cluster8,48.8225312347086,2.26799505481558,48.7526397705078,2.302649974823,GERMANY,DONAUWOERTH,Cluster17,48.7181701660156,10.7804203033447,48.7181701660156,10.7804203033447,449.70000000000005,55,2.464999999999999
FRANCE,ANTONY,Cluster8,48.8225312347086,2.26799505481558,48.7526397705078,2.302649974823,SPAIN,GETAFE,Cluster443,40.3059605685147,-3.73263323307037,40.3049087524414,-3.73108005523682,1.0,1,0.006
FRANCE,ANTONY,Cluster8,48.8225312347086,2.26799505481558,48.7526397705078,2.302649974823,SPAIN,SEVILLA,Cluster441,37.3885318869866,-6.00721914372338,37.3878898620605,-6.00197982788086,1.0,1,0.006
FRANCE,ARGENTEUIL,Cluster8,48.8225312347086,2.26799505481558,48.9420890808105,2.24505996704102,FRANCE,CORNEBARRIEU,Cluster2,43.6206051062346,1.39423144268438,43.6498718261719,1.32570004463196,8.0,1,0.072
